LO-ID,Subject,S-ID,Topic,T-ID,Start Learning Objective,Learning Objective Verb,Content Learning Objective ,"Level
(Bloom)",BA,MA,ECR,DS,FK,CK,PK,MK,Complete Learning Objective
01_001_0001,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,name,the relevance of research data management (RDM) for scientific research and society,1,x,x,x,x,x,,,,Learners are able to name the relevance of research data management (RDM) for scientific research and society
01_001_0002,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,explain,the relevance of research data management (RDM) for scientific research and society.,2,x,x,x,x,x,x,,,Learners are able to explain the relevance of research data management (RDM) for scientific research and society.
01_001_0003,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,discuss,the relevance of research data management (RDM) for scientific research and society.,4,x,x,x,x,x,x,x,x,Learners are able to discuss the relevance of research data management (RDM) for scientific research and society.
01_001_0004,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,name,the benefits of research data management (RDM) for scientific research and society.,1,x,x,x,x,x,,,,Learners are able to name the benefits of research data management (RDM) for scientific research and society.
01_001_0005,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,explain,the benefits of research data management (RDM) for scientific research and society.,2,x,x,x,x,x,x,,,Learners are able to explain the benefits of research data management (RDM) for scientific research and society.
01_001_0006,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,discuss,the benefits of research data management (RDM) for scientific research and society.,4,x,x,x,x,x,x,x,x,Learners are able to discuss the benefits of research data management (RDM) for scientific research and society.
01_001_0007,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,explain,the term research data management.,2,x,x,x,x,x,x,,,Learners are able to explain the term research data management.
01_001_0008,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,name,examples of research data.,1,x,x,x,x,x,,,,Learners are able to name examples of research data.
01_001_0009,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,name,fields of action in research data management (RDM).,1,,,x,x,x,,,,Learners are able to name fields of action in research data management (RDM).
01_001_0010,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,explain,fields of action in research data management (RDM).,2,,,x,x,x,x,,,Learners are able to explain fields of action in research data management (RDM).
01_001_0011,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,name,current developments in science policy.,1,,x,x,x,x,,,,Learners are able to name current developments in science policy.
01_001_0012,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,explain,current developments in science policy.,2,,,x,x,x,x,,,Learners are able to explain current developments in science policy.
01_001_0013,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,design,didactic scenarios on the basic concepts and significance of research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the basic concepts and significance of research data management (RDM).
01_001_0014,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,carry out,didactic scenarios on the basic concepts and significance of research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on the basic concepts and significance of research data management (RDM).
01_001_0015,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,design,consultancy scenarios on the basic concepts and significance of research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the basic concepts and significance of research data management (RDM).
01_001_0016,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,carry out,consultancies on the basic concepts and significance of research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the basic concepts and significance of research data management (RDM).
01_001_0017,Fundamental and comprehensive concepts,01,basic data terms and significance of research data management (RDM),01_001,Learners are able to,design,information offers on various aspects of research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design information offers on various aspects of research data management (RDM).
01_002_0018,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,name,research data management (RDM) issues.,1,,x,x,x,x,,,,Learners are able to name research data management (RDM) issues.
01_002_0019,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,explain,research data management (RDM) issues.,2,,,x,x,x,x,,,Learners are able to explain research data management (RDM) issues.
01_002_0020,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,analyse,research data management (RDM) issues.,4,,,x,x,x,x,x,,Learners are able to analyse research data management (RDM) issues.
01_002_0021,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,evaluate,research data management (RDM) issues.,5,,,x,x,x,x,x,x,Learners are able to evaluate research data management (RDM) issues.
01_002_0022,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,differentiate,between general and (subject) specific problems in the field of research data management (RDM).,4,,,x,x,x,x,x,,Learners are able to differentiate between general and (subject) specific problems in the field of research data management (RDM).
01_002_0023,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,name,solution strategies for problems in the area of research data management (RDM).,1,,,x,x,x,,,,Learners are able to name solution strategies for problems in the area of research data management (RDM).
01_002_0024,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,explain,solution strategies for problems in the area of research data management (RDM).,2,,,,x,x,x,,,Learners are able to explain solution strategies for problems in the area of research data management (RDM).
01_002_0025,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,apply,solution strategies for problems in the area of research data management (RDM).,3,,,x,x,x,x,x,,Learners are able to apply solution strategies for problems in the area of research data management (RDM).
01_002_0026,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,evaluate,solution strategies for problems in the area of research data management (RDM).,5,,,x,x,x,x,x,x,Learners are able to evaluate solution strategies for problems in the area of research data management (RDM).
01_002_0027,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,design,sustainable solution strategies for problems in the area of research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design sustainable solution strategies for problems in the area of research data management (RDM).
01_002_0028,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,design,didactic scenarios on problems in research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on problems in research data management (RDM).
01_002_0029,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,carry out,didactic scenarios on problems in research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on problems in research data management (RDM).
01_002_0030,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,design,consultancy scenarios on problems in research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on problems in research data management (RDM).
01_002_0031,Fundamental and comprehensive concepts,01,issues in research data management (RDM),01_002,Learners are able to,carry out,consultancy on problems in research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out consultancy on problems in research data management (RDM).
01_001_0032,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,name,people in research data management (RDM).,1,x,x,x,x,x,,,,Learners are able to name people in research data management (RDM).
01_001_0033,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,functions and responsibilities of people in research data management (RDM).,2,,x,x,x,x,x,,,Learners are able to explain functions and responsibilities of people in research data management (RDM).
01_001_0034,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,name,roles in research data management (RDM).,1,x,x,x,x,x,,,,Learners are able to name roles in research data management (RDM).
01_001_0035,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,roles in research data management (RDM).,2,,x,x,x,x,x,,,Learners are able to explain roles in research data management (RDM).
01_001_0036,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,their own role in research data management (RDM).,2,x,x,x,x,x,x,,,Learners are able to explain their own role in research data management (RDM).
01_001_0037,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,discuss,their own role in research data management (RDM).,4,,,x,x,x,x,x,x,Learners are able to discuss their own role in research data management (RDM).
01_001_0038,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,their own responsibilities in the area of research data management (RDM).,2,x,x,x,x,x,x,,,Learners are able to explain their own responsibilities in the area of research data management (RDM).
01_001_0039,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,discuss,their own responsibilities in the area of research data management (RDM).,4,x,x,x,x,x,x,x,x,Learners are able to discuss their own responsibilities in the area of research data management (RDM).
01_001_0040,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,name,stakeholders in research data management (RDM).,1,,x,x,x,x,,,,Learners are able to name stakeholders in research data management (RDM).
01_001_0041,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,the specific interests and requirements of various stakeholders in research data management (RDM).,2,,,x,x,x,x,,,Learners are able to explain the specific interests and requirements of various stakeholders in research data management (RDM).
01_001_0042,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,name,different types of data stewards.,1,,,,x,x,,,,Learners are able to name different types of data stewards.
01_001_0043,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,different types of data stewards.,2,,,,x,x,x,,,Learners are able to explain different types of data stewards.
01_001_0044,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,name,areas of responsibility for data stewards.,1,,,,x,x,,,,Learners are able to name areas of responsibility for data stewards.
01_001_0045,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,areas of responsibility for data stewards.,2,,,,x,x,x,,,Learners are able to explain areas of responsibility for data stewards.
01_001_0046,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,name,roles of data stewards.,1,,,x,x,x,,,,Learners are able to name roles of data stewards.
01_001_0047,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,roles of data stewards.,2,,,,x,x,x,,,Learners are able to explain roles of data stewards.
01_001_0048,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,discuss,roles of data stewards.,4,,,,x,x,x,x,x,Learners are able to discuss roles of data stewards.
01_001_0049,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,their own responsibilities and tasks as a data steward.,2,,,,x,x,x,,,Learners are able to explain their own responsibilities and tasks as a data steward.
01_001_0050,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,discuss,their own responsibilities and tasks as a data steward.,4,,,,x,x,x,x,x,Learners are able to discuss their own responsibilities and tasks as a data steward.
01_001_0051,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,name,methods for coordination and communication between the various people involved in research data management (RDM).,1,,,x,x,x,,,,Learners are able to name methods for coordination and communication between the various people involved in research data management (RDM).
01_001_0052,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,explain,methods for coordination and communication between the various people involved in research data management (RDM).,2,,,x,x,x,x,,,Learners are able to explain methods for coordination and communication between the various people involved in research data management (RDM).
01_001_0053,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,apply,methods for coordination and communication between the various people involved in research data management (RDM).,3,,,x,x,x,x,x,,Learners are able to apply methods for coordination and communication between the various people involved in research data management (RDM).
01_001_0054,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,design,didactic scenarios on the topic of people and roles in research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the topic of people and roles in research data management (RDM).
01_001_0055,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,carry out,didactic scenarios on the topic of people and roles in research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on the topic of people and roles in research data management (RDM).
01_001_0056,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_003,Learners are able to,design,consultancy scenarios on the topic of people and roles in research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the topic of people and roles in research data management (RDM).
01_001_0057,Fundamental and comprehensive concepts,01,people and roles in research data management (RDM),01_004,Learners are able to,carry out,consultancy on the topic of people and roles in research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the topic of people and roles in research data management (RDM).
01_001_0058,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,name,the elements and objectives of research data policies.,1,,x,x,x,x,,,,Learners are able to name the elements and objectives of research data policies.
01_001_0059,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,explain,the elements and objectives of research data policies.,2,,x,x,x,x,x,,,Learners are able to explain the elements and objectives of research data policies.
01_001_0060,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,explain,the relevance of research data policies.,2,,,x,x,x,x,,,Learners are able to explain the relevance of research data policies.
01_001_0061,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,explain,the benefits of research data policies.,2,,,x,x,x,x,,,Learners are able to explain the benefits of research data policies.
01_001_0062,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,explain,the difference between subject-specific and institutional research data policies.,2,,,x,x,x,x,,,Learners are able to explain the difference between subject-specific and institutional research data policies.
01_001_0063,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,discuss,research data policies critically.,4,,,x,x,x,x,x,x,Learners are able to discuss research data policies critically.
01_001_0064,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,analyse,differences between various research data policies.,4,,,x,x,x,x,x,,Learners are able to analyse differences between various research data policies.
01_001_0065,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,evaluate,research data policies critically.,5,,,x,x,x,x,x,x,Learners are able to evaluate research data policies critically.
01_001_0066,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,name,subject-specific policies.,1,,x,x,x,x,,,,Learners are able to name subject-specific policies.
01_001_0067,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,explain,subject-specific policies.,2,,,x,x,x,x,,,Learners are able to explain subject-specific policies.
01_001_0068,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,carry out,search on research data policies independently.,3,,,x,x,x,x,x,,Learners are able to carry out search on research data policies independently.
01_001_0069,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,carry out,search on research data policies under guidance.,3,x,x,x,x,x,x,x,,Learners are able to carry out search on research data policies under guidance.
01_001_0070,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,develop,a framework for research data management (RDM) measures based on policies.,6,,,x,x,x,x,x,x,Learners are able to develop a framework for research data management (RDM) measures based on policies.
01_001_0071,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,apply,research data policies to research projects.,3,,,x,x,x,x,x,,Learners are able to apply research data policies to research projects.
01_001_0072,Fundamental and comprehensive concepts,01,research data management (RDM)-policies,01_004,Learners are able to,name,basic steps for creating a research data policy.,1,,,,x,x,,,,Learners are able to name basic steps for creating a research data policy.
