LZ-ID;Themencluster;Cl-ID;Thema;Th-ID;Lernziel Start;Lernziele Inhalt;Lernziel Verb;Stufe (Bloom);BA;MA;ECR;DS;SK;MK;SeK;SoK;Lernziel komplett;;
01_001_0001;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;die Relevanz von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft;benennen.;1;x;x;x;x;x;;;;Lernende können die Relevanz von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft benennen.;;
01_001_0002;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;die Relevanz von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft;erläutern.;2;x;x;x;x;x;;;;Lernende können die Relevanz von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft erläutern.;;
01_001_0003;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;die Relevanz von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft;diskutieren.;4;x;x;x;x;x;x;x;x;Lernende können die Relevanz von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft diskutieren.;;
01_001_0004;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;den Nutzen von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft;benennen.;1;x;x;x;x;x;;;;Lernende können den Nutzen von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft benennen.;;
01_001_0005;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;den Nutzen von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft;erläutern.;2;x;x;x;x;x;;;;Lernende können den Nutzen von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft erläutern.;;
01_001_0006;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;den Nutzen von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft;diskutieren.;4;x;x;x;x;x;x;x;x;Lernende können den Nutzen von Forschungsdatenmanagement (FDM) für Forschung und Gesellschaft diskutieren.;;
01_001_0007;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;den Begriff Forschungsdaten;erläutern.;2;x;x;x;x;x;;;;Lernende können den Begriff Forschungsdaten erläutern.;;
01_001_0008;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;Beispiele für Forschungsdaten;benennen.;1;x;x;x;x;x;;;;Lernende können Beispiele für Forschungsdaten benennen.;;
01_001_0009;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;Handlungsfelder im Forschungsdatenmanagement (FDM);benennen.;1;;;x;x;x;;;;Lernende können Handlungsfelder im Forschungsdatenmanagement (FDM) benennen.;;
01_001_0010;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;Handlungsfelder im Forschungsdatenmanagement (FDM);erläutern.;2;;;x;x;x;;;;Lernende können Handlungsfelder im Forschungsdatenmanagement (FDM) erläutern.;;
01_001_0011;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;aktuelle wissenschaftspolitische Entwicklungen;benennen.;1;;x;x;x;x;;;;Lernende können aktuelle wissenschaftspolitische Entwicklungen benennen.;;
01_001_0012;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;aktuelle wissenschaftspolitische Entwicklungen;erläutern.;2;;;x;x;x;;;;Lernende können aktuelle wissenschaftspolitische Entwicklungen erläutern.;;
01_001_0013;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;didaktische Szenarien zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können didaktische Szenarien zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM) konzipieren.;;
01_001_0014;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;didaktische Szenarien zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können didaktische Szenarien zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM) durchführen.;;
01_001_0015;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;Beratungsszenarien zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM) konzipieren.;;
01_001_0016;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;Beratungen zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungen zum Thema Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM) durchführen.;;
01_001_0017;Grundlegende und übergreifende Konzepte;01;Grundbegriffe und Bedeutung des Forschungsdatenmanagements (FDM);01_001;Lernende können;Informationsangebote zu verschiedenen Aspekten des Forschungsdatenmanagement (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können Informationsangebote zu verschiedenen Aspekten des Forschungsdatenmanagement (FDM) konzipieren.;;
01_002_0018;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;Problemstellungen im Bereich Forschungsdatenmanagement (FDM);benennen.;1;;x;x;x;x;;;;Lernende können Problemstellungen im Bereich Forschungsdatenmanagement (FDM) benennen.;;
01_002_0019;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;Problemstellungen im Bereich Forschungsdatenmanagement (FDM);erläutern.;2;;;x;x;x;;;;Lernende können Problemstellungen im Bereich Forschungsdatenmanagement (FDM) erläutern.;;
01_002_0020;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;Problemstellungen im Bereich Forschungsdatenmanagement (FDM);analysieren.;4;;;x;x;x;x;;;Lernende können Problemstellungen im Bereich Forschungsdatenmanagement (FDM) analysieren.;;
01_002_0021;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;Problemstellungen im Bereich Forschungsdatenmanagement (FDM);bewerten.;5;;;x;x;x;x;;;Lernende können Problemstellungen im Bereich Forschungsdatenmanagement (FDM) bewerten.;;
01_002_0022;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;allgemeine von (fach-)spezifischen Problemstellungen im Bereich des Forschungsdatenmanagement (FDM);unterscheiden.;4;;;x;x;x;x;;;Lernende können allgemeine von (fach-)spezifischen Problemstellungen im Bereich des Forschungsdatenmanagement (FDM) unterscheiden.;;
01_002_0023;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien;benennen.;1;;;x;x;x;;;;Lernende können zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien benennen.;;
01_002_0024;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien;erläutern.;2;;;;x;x;;;;Lernende können zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien erläutern.;;
01_002_0025;Grundlegende und übergreifende Konzepte;01;Problemstellungen im Forschungsdatenmanagement (FDM);01_002;Lernende können;zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien;anwenden.;3;;;x;x;x;x;x;x;Lernende können zu Problemstellungen im Bereich Forschungsdatenmanagement (FDM) Lösungsstrategien anwenden.;;
